time_s,vx,vy,vz
3.446055,-4.12,-192.57,-2311.92
3.475795,-35.86,-183.25,-2358.25
3.497461,-47.35,-178.63,-2336.11
3.518493,-59.23,-176.10,-2319.38
3.541396,-50.04,-173.15,-2319.48
3.562185,-32.43,-172.09,-2305.51
3.587221,-27.46,-169.18,-2326.51
3.608743,-18.73,-168.59,-2317.87
3.628994,-5.62,-172.54,-2303.96
3.660038,18.18,-174.48,-2363.39
3.682724,31.83,-174.36,-2347.29
3.708495,36.37,-173.08,-2355.69
3.730764,44.39,-171.48,-2336.77
3.755804,33.01,-169.92,-2343.60
3.780120,32.06,-167.53,-2341.62
3.804142,37.44,-165.79,-2336.56
3.827592,23.05,-164.34,-2331.90
3.853137,-8.17,-160.63,-2344.76
3.876112,-15.38,-160.36,-2335.26
3.898364,-20.54,-159.59,-2324.98
3.920156,-29.74,-160.27,-2317.13
3.942357,-39.66,-160.11,-2316.39
3.963569,-42.81,-162.21,-2310.64
3.989506,-58.61,-162.56,-2341.49
4.011688,-51.35,-160.69,-2336.15
4.033611,-25.13,-166.14,-2328.96
4.061426,-4.15,-168.28,-2362.42
4.083730,6.74,-167.65,-2348.03
4.109445,2.20,-166.44,-2362.54
4.131886,11.52,-164.58,-2348.62
4.153914,13.23,-160.42,-2336.88
4.176160,18.14,-157.45,-2330.18
4.197374,5.96,-155.03,-2321.16
4.222215,11.72,-152.54,-2338.67
4.243460,2.73,-150.74,-2328.87
4.275873,-12.90,-142.57,-2394.48
4.298637,-31.04,-135.16,-2373.48
4.320978,-45.38,-130.37,-2356.74
4.343679,-38.27,-128.79,-2345.74
4.370060,-38.28,-127.60,-2362.40
4.393085,-35.67,-123.97,-2350.97
4.415196,-11.39,-126.06,-2334.28
4.437724,17.23,-129.44,-2324.46
4.461736,19.87,-132.94,-2329.80
4.483738,28.43,-133.45,-2319.47
4.509663,35.07,-132.21,-2337.72
4.531598,37.61,-130.99,-2323.98
4.554559,35.73,-130.20,-2322.90
4.577089,35.22,-132.61,-2319.64
4.598882,38.43,-133.86,-2313.09
4.621994,30.44,-132.03,-2319.16
4.646937,25.55,-131.72,-2335.53
4.672075,24.18,-129.03,-2346.84
4.697234,8.78,-129.85,-2355.64
4.724688,-16.80,-130.31,-2376.79
4.747819,-22.68,-129.17,-2360.79
4.769407,-15.74,-132.06,-2339.33
4.798249,-22.76,-133.62,-2372.73
4.823047,-19.23,-133.48,-2366.03
4.845306,13.55,-133.90,-2340.29
4.866281,27.54,-132.40,-2315.50
4.887643,24.81,-131.88,-2304.03
4.910500,22.71,-128.75,-2307.55
4.933355,13.42,-129.05,-2311.86
4.965764,8.61,-124.76,-2375.59
4.988346,-9.09,-119.00,-2355.25
5.012940,-13.61,-117.01,-2352.65
5.035053,-19.73,-113.91,-2335.36
5.056508,-18.16,-115.80,-2318.69
5.086917,-9.78,-113.42,-2363.87
5.109059,-9.93,-112.27,-2340.35
5.140191,-18.76,-108.69,-2381.26
5.164137,-11.70,-104.59,-2358.41
5.188323,-5.27,-101.76,-2344.15
5.210961,-9.79,-99.41,-2325.11
5.231442,-8.55,-102.52,-2299.26
5.262080,-0.50,-100.79,-2347.18
5.284561,7.96,-99.47,-2325.09
5.309776,7.88,-98.30,-2327.74
5.332258,12.61,-95.49,-2312.02
5.353506,10.11,-97.28,-2296.05
5.377120,11.95,-98.25,-2301.69
5.398974,3.14,-99.14,-2296.39
5.421915,8.51,-99.32,-2300.99
5.443966,4.60,-99.83,-2301.27
5.466933,7.61,-100.04,-2308.09
5.490264,2.05,-100.48,-2317.80
5.517224,-21.28,-104.75,-2351.42
5.544137,-34.22,-108.33,-2371.87
5.569658,-21.41,-112.05,-2372.81
5.599316,-11.44,-112.35,-2396.31
5.621739,-32.95,-119.19,-2367.62
5.652838,-41.57,-121.11,-2399.98
5.675232,-26.77,-121.74,-2361.45
5.701001,-24.88,-120.28,-2358.04
5.722757,-5.67,-120.90,-2326.48
5.744527,18.06,-123.56,-2305.56
5.774012,34.89,-124.23,-2341.15
5.795701,47.42,-126.25,-2313.21
5.821750,40.47,-124.24,-2323.97
5.844212,32.42,-123.83,-2309.46
5.868109,24.34,-121.89,-2309.64
5.891790,27.09,-119.64,-2307.77
5.912895,20.73,-122.87,-2292.38
5.943019,-5.57,-125.19,-2343.71
5.964802,-10.01,-125.68,-2321.17
5.988800,-13.94,-125.91,-2321.97
6.011313,-13.47,-122.62,-2313.49
6.032656,11.78,-122.37,-2299.84
6.061418,37.98,-118.55,-2337.32
6.083613,41.10,-116.53,-2319.76
6.110354,32.80,-115.50,-2340.10
6.133602,1.68,-117.93,-2334.95
6.163704,-14.71,-116.37,-2373.12
6.185664,-27.48,-114.36,-2346.13
6.213254,-40.42,-112.38,-2364.18
6.235132,-25.63,-112.14,-2336.54
6.260495,-1.16,-114.50,-2338.05
6.290840,-8.00,-115.96,-2371.44
6.312873,-20.86,-119.43,-2340.63
6.342155,-29.51,-120.83,-2365.33
6.366212,-49.27,-124.68,-2348.52
6.388857,-58.94,-128.81,-2328.85
6.411673,-50.45,-128.97,-2316.19
6.433502,-4.69,-131.99,-2298.73
6.461882,13.26,-134.25,-2330.47
6.483371,31.02,-137.25,-2306.58
6.511101,34.94,-140.67,-2331.72
6.532740,20.01,-144.76,-2312.13
6.563731,-5.34,-147.13,-2360.90
6.586473,-26.57,-153.96,-2341.75
6.613112,-31.42,-155.01,-2351.64
6.635184,-35.56,-158.22,-2330.05
6.655813,-15.53,-161.12,-2303.32
6.686537,21.61,-158.66,-2348.38
6.711710,40.59,-155.16,-2340.50
6.735353,46.33,-154.05,-2326.27
6.757526,30.32,-158.44,-2310.53
6.788743,12.74,-161.02,-2357.35
6.811223,-8.46,-163.27,-2332.57
6.833602,-4.22,-166.75,-2314.81
6.862592,-2.32,-163.71,-2345.05
6.884064,-6.90,-162.79,-2318.16
6.910752,-11.05,-162.40,-2334.85
6.937955,-32.24,-168.71,-2350.31
6.968644,-29.84,-166.17,-2379.65
6.989789,13.34,-166.01,-2331.65
7.022311,24.68,-163.90,-2371.74
7.044483,41.06,-164.07,-2329.43
7.067849,29.90,-164.39,-2311.90
7.090265,20.18,-164.87,-2295.38
7.114143,-18.56,-174.30,-2300.15
7.140871,-29.59,-177.45,-2320.75
7.162596,-63.66,-183.89,-2307.31
7.188320,-97.09,-189.95,-2326.08
7.210447,-78.79,-193.15,-2311.02
7.231458,-34.43,-194.22,-2291.21
7.261720,-2.77,-190.15,-2337.92
7.283413,27.16,-192.49,-2312.48
7.310377,49.03,-190.29,-2331.33
7.332643,54.04,-190.30,-2315.93
7.356235,45.79,-192.14,-2315.89
7.378627,43.09,-195.01,-2309.06
7.401537,65.64,-192.73,-2306.18
7.423320,64.53,-189.55,-2299.03
7.444910,3.45,-205.39,-2301.78
7.478829,-20.09,-207.26,-2382.94
7.501409,-19.58,-208.92,-2359.48
7.524218,-51.38,-213.11,-2349.12
7.547301,-43.12,-210.14,-2341.37
7.567859,-1.33,-210.51,-2315.32
7.598403,18.80,-208.87,-2363.37
7.620238,22.97,-209.52,-2338.69
7.643077,36.34,-208.76,-2326.57
7.672277,51.54,-207.97,-2354.74
7.697198,50.80,-208.81,-2343.83
7.722687,-4.17,-224.38,-2345.98
7.747064,11.01,-228.35,-2333.57
7.778205,18.74,-226.18,-2365.36
7.800379,26.38,-227.30,-2330.37
7.823508,42.07,-225.00,-2312.24
7.845657,0.21,-239.57,-2300.61
7.876033,-26.53,-241.48,-2345.32
7.899376,-67.76,-249.04,-2334.37
7.923582,-54.92,-242.98,-2327.74
7.947628,-37.07,-238.79,-2322.90
7.970345,-3.93,-235.50,-2309.19
7.999763,20.58,-226.92,-2342.45
8.022036,1.17,-237.01,-2324.62
8.053173,-13.72,-240.17,-2367.81
8.074746,-13.63,-241.76,-2333.62
8.100975,-14.27,-243.00,-2342.43
8.122190,-14.31,-243.57,-2316.13
8.144527,32.71,-241.16,-2301.28
8.174037,42.05,-238.37,-2338.77
8.195674,54.75,-236.05,-2311.85
8.222032,55.07,-233.57,-2325.23
8.244658,54.72,-235.17,-2310.14
8.267434,44.41,-237.71,-2302.47
8.290019,38.47,-241.24,-2296.38
8.311530,0.43,-257.40,-2291.98
8.340526,-32.77,-267.12,-2339.52
8.362959,-57.57,-275.62,-2330.13
8.388889,-63.93,-275.43,-2346.13
8.412339,-81.00,-276.86,-2343.25
8.434598,-45.17,-272.31,-2328.83
8.466018,-6.15,-261.00,-2375.49
8.491551,2.35,-255.40,-2368.45
8.513437,11.58,-250.90,-2338.95
8.538104,-19.25,-265.23,-2342.69
8.564974,-45.45,-277.55,-2360.17
8.587055,-63.25,-285.86,-2341.99
8.613567,-61.91,-284.87,-2357.18
8.635841,-77.16,-289.80,-2342.77
8.656901,-31.82,-281.43,-2319.42
8.685558,5.22,-271.45,-2352.81
8.706212,26.82,-264.28,-2322.53
8.734024,42.50,-254.13,-2347.04
8.756470,51.99,-252.82,-2327.29
8.780013,48.32,-250.86,-2322.02
8.801701,41.04,-252.92,-2306.77
8.822696,-12.76,-278.66,-2301.57
8.856100,-34.63,-283.40,-2374.84
8.878286,-3.47,-276.27,-2343.53
8.910347,31.88,-259.13,-2379.60
8.932460,-10.10,-280.60,-2344.91
8.963802,-34.69,-287.18,-2378.53
8.985670,-51.34,-292.19,-2336.81
9.013572,-55.29,-292.18,-2347.60
9.036671,-53.19,-286.97,-2320.94
9.057744,-3.57,-273.74,-2283.67
9.086964,16.62,-266.60,-2312.34
9.108003,11.55,-276.84,-2280.61
9.140187,-10.69,-285.17,-2333.34
9.162341,-28.63,-292.19,-2305.41
9.190772,-28.23,-289.01,-2324.86
9.213587,-15.70,-279.53,-2300.58
9.234664,20.96,-267.65,-2271.02
9.262870,45.63,-255.53,-2298.66
9.285735,64.03,-246.76,-2282.48
9.310268,73.94,-240.40,-2283.92
9.332286,69.05,-241.39,-2272.48
9.354201,59.09,-247.35,-2266.35
9.376385,85.45,-239.98,-2260.14
9.398406,95.14,-236.18,-2258.02
9.425267,76.66,-242.47,-2294.56
9.450228,8.59,-280.04,-2314.48
9.477004,-38.68,-300.83,-2342.30
9.503747,-55.30,-305.62,-2358.59
9.525761,-82.47,-314.54,-2342.31
9.549876,-84.34,-306.45,-2344.37
9.571353,-58.08,-293.77,-2326.82
9.598303,-38.74,-283.19,-2351.87
9.623217,-51.87,-298.06,-2359.89
9.652469,-31.27,-286.39,-2386.89
9.674425,-11.57,-270.56,-2355.72
9.701113,-35.78,-281.16,-2372.62
9.722535,-59.61,-292.25,-2349.07
9.772434,52.14,-248.57,-2480.52
9.794022,90.07,-237.34,-2383.82
9.844099,104.58,-228.85,-2460.51
9.866759,128.45,-213.46,-2332.46
9.888809,97.86,-232.02,-2249.94
9.910844,41.94,-266.41,-2201.29
9.940176,0.43,-287.93,-2215.93
9.962685,-35.96,-304.08,-2187.50
9.992055,-47.91,-301.09,-2212.43
10.015092,-67.64,-303.93,-2193.32
10.037911,-39.14,-288.39,-2178.16
10.062026,-7.20,-266.91,-2178.74
10.084446,18.56,-251.74,-2172.14
10.109172,29.31,-240.11,-2188.39
10.132399,33.57,-236.44,-2195.78
10.155689,55.17,-225.98,-2204.72
10.182760,68.64,-218.51,-2239.67
10.208256,59.17,-225.93,-2258.97
10.232446,16.52,-256.39,-2272.09
10.254763,10.89,-266.55,-2268.92
10.287184,-14.80,-276.89,-2334.22
10.310401,-59.34,-303.47,-2324.55
10.340918,-70.57,-306.89,-2362.93
10.362517,-75.83,-309.17,-2333.37
10.391688,-86.33,-306.72,-2364.62
10.417633,-61.84,-287.29,-2361.68
10.440751,-24.08,-262.62,-2337.01
10.464258,-6.74,-249.16,-2325.46
10.485728,23.20,-234.07,-2304.85
10.511180,53.65,-215.55,-2316.71
10.533232,28.91,-235.50,-2309.78
10.754931,0.00,0.00,0.00
10.776684,95.83,4.32,-172.28
10.801481,52.83,-139.74,-316.74
10.822672,-286.77,-444.52,-471.19
10.853555,-341.60,-455.01,-636.56
10.921412,-212.46,-364.36,-932.71
10.943227,-127.13,-325.85,-983.82
10.974708,-81.62,-288.03,-1139.24
10.996323,-42.81,-258.79,-1225.63
11.023343,-28.52,-241.94,-1366.63
11.049418,-49.45,-254.76,-1496.04
11.078433,-54.36,-260.09,-1635.61
11.104094,-55.70,-262.21,-1740.38
11.126050,-72.12,-271.88,-1815.17
11.169412,-13.33,-232.84,-2022.22
11.197863,21.69,-211.98,-2085.51
11.222704,27.88,-210.85,-2128.38
11.244455,5.68,-228.67,-2159.71
11.267369,-0.28,-228.58,-2201.54
11.288927,12.47,-216.98,-2231.16
11.331765,14.27,-225.92,-2395.19
