time_s,vx,vy,vz
2.345120,8.56,423.10,141.57
2.368655,-62.20,413.13,-49.84
2.390943,-163.38,389.37,-255.25
2.414688,-217.26,389.79,-483.49
2.437143,-360.08,393.38,-738.43
2.466803,-402.31,393.16,-1036.24
2.488273,-308.60,427.23,-1246.60
2.524231,-222.15,431.17,-1563.66
2.546455,-289.90,435.85,-1811.82
2.576437,-295.54,428.75,-2042.27
2.598596,-282.25,421.86,-2119.53
2.620206,0.00,0.00,0.00
2.643609,66.17,183.14,17.14
2.666639,438.83,414.94,272.73
2.699336,281.28,378.53,215.22
2.723577,-135.56,360.90,41.99
2.756212,-92.28,371.22,-204.15
2.782846,-58.02,360.92,-441.97
2.809122,-66.29,348.80,-692.16
2.831955,-69.80,341.57,-902.69
2.859564,-48.13,335.78,-1144.45
2.884319,-193.77,329.33,-1414.94
2.916703,-220.15,325.82,-1725.30
2.938306,-158.91,342.38,-1844.93
2.970034,-115.89,331.23,-1976.26
2.994000,0.00,0.00,0.00
3.015493,-481.23,80.36,-66.22
3.041526,-119.57,199.83,-31.77
3.063921,-189.32,205.61,-83.88
3.090630,-178.92,195.73,-238.22
3.114113,-48.83,226.36,-407.17
3.145940,35.09,220.54,-661.10
3.168719,15.35,219.33,-855.12
3.191881,-17.73,219.56,-1060.29
3.213638,-8.38,215.27,-1249.34
3.236266,-71.24,221.65,-1497.97
3.264857,-96.38,220.59,-1687.46
3.287501,-117.00,220.15,-1759.66
3.314730,-141.32,216.48,-1837.54
3.338057,-88.96,226.66,-1855.70
3.370481,-55.46,232.37,-1944.13
3.392651,-63.88,230.25,-1958.64
3.414265,-86.26,232.20,-1991.54
3.441614,-82.34,230.13,-2076.65
3.463904,-81.76,228.16,-2128.59
3.489062,-97.99,225.44,-2215.97
3.511589,-117.48,224.42,-2292.75
3.533770,-114.74,223.77,-2377.76
3.555968,-71.59,223.46,-2427.47
3.578108,-74.41,221.31,-2446.77
3.608413,-96.75,217.70,-2508.35
3.631453,-89.41,213.63,-2493.14
3.656236,-106.31,202.51,-2492.38
3.683115,-150.78,197.33,-2506.56
3.708714,-148.63,192.89,-2504.42
3.734442,-182.47,190.63,-2517.92
3.833631,-156.76,176.70,-2766.39
3.856147,-166.58,174.71,-2454.60
3.878820,-152.61,164.69,-2249.59
3.901731,-133.84,159.48,-2117.54
3.924562,-154.35,158.37,-2049.76
3.954420,-217.67,154.23,-2080.07
3.976308,-194.54,155.14,-2052.89
4.009576,-192.29,150.23,-2114.04
4.032576,-173.60,150.46,-2094.06
4.060367,-146.44,147.01,-2118.56
4.083328,-127.36,146.34,-2111.73
4.114903,-112.77,139.13,-2169.30
4.138586,-53.10,129.65,-2159.32
4.169533,-62.26,126.68,-2212.80
4.193335,-70.19,122.54,-2211.55
4.216762,-98.73,119.03,-2219.73
4.241813,-126.49,117.75,-2245.66
4.263704,-118.30,114.17,-2247.30
4.289020,-94.91,108.83,-2275.66
4.313962,-64.72,104.78,-2296.16
4.336662,-47.81,99.76,-2300.93
4.362229,-39.74,94.42,-2327.20
4.384123,-4.56,90.02,-2321.19
4.409804,32.43,83.54,-2343.10
4.431312,49.54,77.28,-2333.53
4.456715,43.28,72.09,-2357.48
4.478602,27.56,69.80,-2353.92
4.500276,20.22,67.09,-2351.72
4.522317,15.16,65.26,-2354.74
4.544398,17.13,63.70,-2358.08
4.570279,17.22,61.02,-2386.25
4.593575,14.57,59.16,-2388.36
4.617198,-8.14,60.84,-2394.38
4.645825,-10.89,57.52,-2427.90
4.672366,8.61,53.08,-2431.76
4.699075,16.71,48.26,-2432.73
4.721347,39.46,41.35,-2400.74
4.754103,66.95,34.24,-2439.51
4.775667,67.04,29.86,-2392.18
4.801599,84.76,24.13,-2383.04
4.824094,85.58,19.34,-2354.29
4.849975,98.48,16.88,-2354.04
4.873165,81.87,12.94,-2337.59
4.895237,83.57,8.67,-2317.54
4.921944,72.56,6.40,-2334.70
4.943962,59.33,2.38,-2315.91
4.969814,31.78,1.66,-2330.18
4.994120,21.22,-1.27,-2328.63
5.016914,26.74,-5.32,-2316.69
5.042491,32.12,-11.04,-2326.76
5.065194,2.57,-14.46,-2318.80
5.096886,4.08,-20.56,-2368.10
5.120207,8.09,-24.48,-2344.63
5.145524,-8.68,-26.19,-2343.47
5.171318,-18.11,-27.43,-2344.46
5.198376,-24.16,-27.25,-2351.96
5.221193,-34.56,-24.89,-2330.43
5.244700,-41.88,-22.81,-2321.20
5.269936,-27.72,-29.34,-2324.05
5.291904,-47.90,-29.27,-2309.48
5.322334,-58.20,-30.37,-2354.13
5.464090,0.00,0.00,0.00
5.615195,0.00,0.00,0.00
5.637516,4114.78,-524.80,524.68
5.687617,525.16,-416.14,268.51
5.714252,172.86,-343.91,9.95
5.737120,190.15,-457.67,-188.42
5.812657,168.20,-436.86,-736.93
