time_s,raw_x,raw_y,raw_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz
4.909952,15.96,2884.14,-1825.21,0.25,2897.14,-1966.17,-42.25,9.85,-1701.56
4.958665,-4.54,2906.40,-1843.51,-3.22,2902.15,-1968.89,-52.10,41.50,-1697.91
5.008039,-20.81,2918.78,-1856.32,-13.54,2911.73,-1976.53,-106.26,94.11,-1719.88
5.579059,76.32,2916.01,-1803.97,76.32,2916.01,-1803.97,0.00,0.00,0.00
5.608672,273.58,2783.23,-1665.00,255.48,2795.41,-1700.32,3534.13,-2378.94,1838.88
17.373947,264.12,2745.44,-1640.96,264.12,2745.44,-1640.96,0.00,0.00,0.00
20.277356,-164.42,2522.97,-639.20,-164.42,2522.97,-639.20,0.00,0.00,0.00
20.336447,-370.42,2467.29,-858.55,-363.11,2469.27,-837.00,-2856.42,-771.94,-3177.13
20.426556,-218.89,2146.54,-1086.91,-363.11,2469.27,-837.00,-2856.42,-771.94,-3177.13
20.456006,-197.38,2093.20,-1013.40,-363.11,2469.27,-837.00,-2856.42,-771.94,-3177.13
20.487240,-50.94,1972.19,-870.89,-50.94,1972.19,-870.89,0.00,0.00,0.00
20.517119,-167.98,1940.13,-817.71,-157.35,1943.04,-831.79,-2095.66,-574.14,563.25
20.546504,-12.92,1830.48,-718.71,-48.72,1847.11,-746.04,1897.84,-2429.02,1631.75
20.576656,-104.41,1778.17,-675.71,-76.21,1777.10,-684.08,445.54,-2373.71,1582.61
20.616531,29.53,1687.22,-609.08,4.18,1685.85,-615.94,1193.36,-2333.15,1326.32
20.656529,40.47,1642.13,-585.70,44.69,1623.84,-579.52,1126.30,-2042.55,861.24
20.695983,-86.01,1537.61,-556.77,-9.28,1540.08,-555.06,347.60,-2067.67,461.11
20.734846,97.33,1460.64,-532.91,51.81,1460.19,-539.04,692.30,-2064.29,113.77
20.781993,-27.92,1396.07,-545.32,27.47,1379.70,-544.92,298.54,-1947.95,-350.63
20.829611,-8.04,1299.76,-564.88,16.69,1293.39,-569.26,127.10,-1903.76,-799.45
20.880109,18.48,1207.79,-605.28,20.74,1202.64,-614.79,110.79,-1866.61,-1257.05
20.927253,79.82,1083.21,-689.56,53.15,1098.78,-686.90,299.96,-1977.00,-1729.52
20.974120,76.10,984.83,-795.61,71.67,995.44,-785.72,331.17,-2051.68,-2225.38
21.020372,107.78,909.11,-894.80,97.35,904.82,-897.37,403.78,-2021.75,-2669.88
21.068294,131.92,832.65,-1015.39,124.35,820.36,-1027.88,457.36,-1934.71,-3094.50
21.117881,152.16,758.23,-1103.03,149.65,741.69,-1155.77,475.69,-1814.00,-3383.64
21.167393,168.48,693.76,-982.31,170.77,673.42,-1187.15,458.70,-1663.53,-3091.61
21.213748,179.39,591.53,-839.42,185.65,593.89,-1133.49,414.04,-1680.41,-2456.34
21.260180,195.39,527.15,-778.75,195.39,527.15,-778.75,0.00,0.00,0.00
21.292198,293.34,528.66,-723.34,285.10,528.53,-737.21,1741.46,26.85,590.06
21.322307,213.02,428.59,-720.47,234.84,446.25,-721.39,-587.62,-1857.66,339.18
21.351872,301.42,439.12,-692.76,279.56,426.68,-700.48,465.27,-1258.32,262.65
26.003059,117.50,2872.53,-1755.00,117.50,2872.53,-1755.00,0.00,0.00,0.00
26.033375,131.29,2858.38,-1750.27,130.06,2859.65,-1752.50,246.58,-253.01,-159.78
26.064265,133.39,2857.20,-1750.26,134.10,2856.31,-1753.35,165.27,-151.25,-304.97
26.095923,135.03,2857.39,-1749.71,136.09,2855.95,-1755.55,111.98,-78.48,-444.66
26.126377,138.32,2855.12,-1747.70,138.73,2854.58,-1758.08,102.19,-65.48,-571.35
26.156160,147.08,2848.46,-1741.95,144.82,2850.24,-1759.53,134.15,-90.58,-678.84
26.194556,148.72,2848.18,-1740.96,149.28,2847.55,-1766.26,128.19,-83.78,-851.76
26.232763,142.01,2851.92,-1744.41,147.91,2848.25,-1776.63,80.33,-53.97,-1032.16
26.277598,153.77,2845.30,-1736.34,152.65,2845.56,-1788.21,88.37,-55.86,-1211.23
26.323426,156.37,2841.28,-1731.92,156.54,2842.14,-1799.83,87.23,-61.72,-1367.73
26.367290,153.98,2844.91,-1735.20,157.27,2842.09,-1812.73,65.96,-43.48,-1503.61
26.413248,148.17,2849.06,-1740.62,154.40,2844.46,-1829.78,25.09,-13.25,-1633.80
26.457923,138.93,2855.51,-1747.66,147.49,2849.50,-1846.23,-30.96,26.10,-1730.89
26.503285,132.67,2856.87,-1749.72,139.57,2853.69,-1861.01,-76.62,47.15,-1793.72
26.548674,138.28,2855.58,-1747.90,137.16,2855.71,-1871.17,-69.13,46.28,-1815.02
26.594221,128.80,2860.93,-1754.59,131.46,2859.34,-1880.68,-86.98,56.96,-1825.50
26.667086,124.45,2864.01,-1759.51,124.73,2863.79,-1908.34,-89.74,59.07,-1847.77
26.732830,121.84,2868.99,-1763.21,120.65,2868.47,-1909.15,-77.07,64.62,-1745.53
26.787742,129.71,2870.31,-1764.91,124.07,2871.04,-1898.34,-23.70,57.74,-1645.25
