time_s,raw_x,raw_y,raw_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz
1.468243,-3.42,289.24,-1046.61,-34.09,272.61,-1099.33,-103.18,1033.26,-2039.18
1.526125,-21.08,311.74,-980.15,-27.52,318.76,-1085.73,-2.68,923.85,-1597.97
1.567225,-32.50,315.98,-969.03,-32.50,315.98,-969.03,0.00,0.00,0.00
1.596320,-44.88,330.83,-956.81,-42.30,327.73,-965.22,-193.71,232.33,-127.89
1.625124,-88.34,321.20,-969.39,-78.08,324.55,-970.84,-786.62,38.57,-376.10
1.655881,-64.69,349.72,-971.23,-76.14,342.41,-977.64,-395.84,287.91,-563.36
1.686831,-69.01,357.65,-984.45,-76.35,355.25,-991.41,-255.11,333.84,-786.27
1.717214,-86.14,357.93,-1007.71,-85.22,361.29,-1013.89,-265.83,294.45,-1036.64
1.756043,-117.11,357.47,-1051.16,-106.89,364.69,-1056.65,-353.80,232.22,-1385.32
1.802383,-121.01,376.05,-1086.53,-122.13,375.76,-1110.83,-346.49,234.14,-1728.30
1.850592,-137.78,382.27,-1038.88,-138.33,384.76,-1133.30,-343.76,221.84,-1867.96
1.898763,-131.86,408.77,-994.66,-144.61,401.39,-1137.74,-294.42,250.39,-1947.73
1.944154,-143.46,417.99,-986.21,-151.99,414.91,-1143.38,-267.57,260.08,-2050.77
1.990688,-182.73,407.75,-1000.13,-171.58,419.50,-1162.80,-298.39,227.62,-2210.80
2.037787,-196.17,419.05,-1022.62,-189.59,426.02,-1193.89,-315.19,209.81,-2400.88
2.175069,-209.91,462.59,-1029.52,-209.91,462.59,-1029.52,0.00,0.00,0.00
2.204763,-254.88,460.98,-1015.09,-245.66,461.31,-1024.61,-704.81,-25.22,-109.28
2.235308,-251.06,470.79,-1011.51,-254.97,468.31,-1019.72,-472.35,122.42,-208.34
2.265623,-231.92,490.31,-1011.26,-243.55,484.62,-1019.13,-95.14,307.07,-369.42
2.296391,-265.54,486.47,-1038.92,-258.20,489.39,-1037.18,-230.62,253.05,-690.72
2.414225,-303.89,504.45,-1058.95,-300.40,507.23,-1092.23,-315.95,185.05,-1374.29
2.452500,-297.56,519.14,-1032.99,-304.15,517.01,-1089.89,-273.25,198.83,-1475.41
2.490985,-322.35,518.29,-1030.36,-318.19,521.75,-1101.20,-290.25,184.74,-1640.19
2.538432,-342.08,524.59,-1036.80,-336.26,527.99,-1130.56,-310.12,173.13,-1885.17
2.585793,-321.06,549.45,-1060.00,-338.91,541.54,-1169.37,-256.27,197.02,-2136.47
2.632434,-343.95,555.04,-1094.21,-348.19,552.39,-1217.15,-244.58,204.32,-2387.18
2.682007,-365.94,556.15,-1077.00,-362.46,560.10,-1259.87,-253.85,193.82,-2593.92
2.775596,-370.35,586.02,-1073.80,-378.78,581.88,-1368.87,-221.59,209.63,-2968.28
2.824316,-386.40,591.54,-1099.85,-388.23,591.86,-1379.45,-215.67,208.61,-2999.31
2.871293,-377.07,611.55,-1083.19,-389.86,605.61,-1387.67,-178.18,226.02,-3018.90
2.919000,-443.01,601.08,-1105.24,-415.58,610.48,-1408.49,-254.21,199.96,-3072.27
2.967438,-442.87,616.95,-1096.23,-433.57,618.95,-1427.39,-279.19,194.58,-3109.87
3.059720,-482.85,629.93,-1105.15,-470.33,633.64,-1526.14,-327.41,180.27,-3300.32
3.107323,-458.67,652.19,-1090.62,-474.38,646.44,-1495.78,-276.52,198.88,-3147.36
3.198760,-510.82,660.22,-1102.61,-505.18,662.45,-1553.63,-300.72,189.32,-3198.06
3.245056,-527.37,666.23,-1103.94,-522.70,669.05,-1504.90,-316.55,179.78,-3002.81
3.291495,-541.18,672.40,-1108.88,-538.93,675.38,-1480.24,-323.32,170.84,-2908.92
3.338273,-557.57,678.94,-1108.24,-555.41,681.66,-1467.81,-329.36,163.24,-2865.78
3.385313,-533.67,699.55,-1100.21,-556.86,693.19,-1460.21,-267.28,180.27,-2844.14
3.432813,-558.49,702.51,-1100.50,-565.44,702.03,-1457.96,-249.20,181.52,-2843.36
3.481283,-562.09,710.68,-1100.92,-571.81,710.78,-1460.06,-224.27,181.27,-2857.48
3.647499,-617.93,729.76,-1105.13,-617.93,729.76,-1105.13,0.00,0.00,0.00
3.677330,-632.32,732.24,-1107.84,-629.38,731.74,-1108.68,-225.54,38.99,-276.54
3.735101,-651.64,741.33,-1105.18,-650.54,740.46,-1113.63,-333.07,124.56,-528.15
3.769015,-657.61,742.78,-1105.87,-659.00,743.40,-1118.04,-302.97,111.00,-689.01
3.798590,-654.51,749.76,-1104.35,-660.50,748.39,-1123.26,-234.78,126.58,-830.74
3.828144,-655.08,752.86,-1101.20,-661.41,752.49,-1129.51,-186.17,129.45,-969.72
4.004785,-702.81,766.80,-1100.99,-702.81,766.80,-1100.99,0.00,0.00,0.00
4.033935,-716.16,767.72,-1102.56,-713.38,767.53,-1103.89,-208.98,14.48,-260.95
4.063753,-723.22,768.97,-1103.34,-722.33,768.72,-1108.38,-261.64,29.18,-431.67
4.094953,-757.17,764.58,-1110.80,-749.08,766.11,-1117.17,-534.65,-22.46,-624.44
4.124988,-748.16,770.02,-1106.93,-754.72,768.25,-1122.29,-413.49,10.20,-745.72
4.154239,-740.90,775.66,-1103.46,-752.79,772.40,-1126.66,-278.29,47.34,-858.43
4.192049,-764.53,775.14,-1109.40,-763.94,774.68,-1139.80,-283.23,51.22,-1054.01
4.230078,-750.72,781.37,-1109.02,-763.17,778.91,-1153.22,-206.77,66.32,-1235.54
