sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,dt12,dt23,dt34,dt45,dt56,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit
34,2026-04-04T17:09:50.497,-342.5256646,2506.429559,-626.1252985,-338.3409544,2434.194162,-620.2424639,-326.6350132,2364.832779,-615.6723472,-325.4150706,2293.097421,-613.4877634,-314.1726361,2226.468124,-613.9092752,-303.3585106,2158.920761,-616.5934761,0.0156244,0.016864,0.0160891,0.0163726,0.0157766,-59.47160386,-29.50644538,-861.0339162,280.9288373,-2457.68537,-1136.241414,0.6744596,1,1,0
35,2026-04-04T17:09:56.532,-35.41300924,2521.741663,-682.7785292,4.963831575,2458.896479,-667.2236337,17.4591416,2391.6061,-657.5150423,30.87510805,2324.124966,-652.832261,35.92785018,2254.025359,-650.9056274,52.27729487,2187.474505,-649.8016448,0.013625,0.0166118,0.0149761,0.0173207,0.0163819,364.7271177,41.25713226,-864.8973949,372.2047303,-2477.233235,-1014.077105,0.6579842,1,1,0
36,2026-04-04T17:10:03.969,-248.4048032,2499.011085,-590.5568324,-244.6454635,2425.16169,-582.6372692,-238.2653341,2352.560165,-576.3686906,-242.2891879,2279.071216,-573.678714,-230.6410728,2208.766395,-572.3848078,-239.6223732,2136.218985,-575.0952328,0.0114619,0.0157391,0.015695,0.0164186,0.0176054,-194.2695713,-129.9466049,-801.1122642,60.2916028,-2605.444985,-701.4972688,0.647576,1,1,0
37,2026-04-04T17:10:23.521,-75.70987938,2495.251225,-492.2567972,-67.75074483,2439.046105,-492.6460457,-70.72284365,2380.541039,-495.2526239,-78.70417399,2320.809485,-499.997782,-69.02558782,2266.253949,-507.1868124,-70.43654928,2209.633432,-517.599679,0.0186562,0.0161679,0.0143788,0.015893,0.0156517,-63.70633822,50.98012901,-955.2471662,10.85042259,-2055.122164,-2084.640729,0.7947604,1,1,0
38,2026-04-04T17:10:49.889,27.97148921,2494.245908,-655.5934714,44.9030061,2430.291431,-655.0102913,56.47459526,2365.675301,-660.1245267,73.87945338,2303.599568,-665.5517247,81.95678349,2239.178719,-675.2327486,92.55065887,2177.391443,-687.6121832,0.0169307,0.0164447,0.0129908,0.0147067,0.0159644,503.9959974,180.816331,-1006.809543,466.8522041,-2307.62923,-1872.56395,0.6715617,1,1,0
39,2026-04-04T17:11:24.905,-195.9912012,2524.602888,-729.5745147,-175.3421492,2445.978597,-760.8013525,-154.4026749,2366.675359,-792.0039252,-123.9227382,2288.20235,-825.3082378,-111.0847794,2213.958466,-858.2333647,-89.20867526,2139.165859,-899.2366568,0.0172707,0.017632,0.0148365,0.0166568,0.0156796,405.8876807,73.40756239,-925.7255401,454.439866,-1932.292271,1474.371965,0.734982,1,1,1
40,2026-04-04T17:11:33.673,354.0484819,2478.209124,-614.1149192,355.8090436,2406.803615,-595.9026453,348.6746763,2335.083112,-585.6276578,342.6169272,2262.666126,-575.7239997,332.3310436,2189.614448,-568.0951878,326.3152522,2118.077864,-564.3184046,0.0184813,0.0152921,0.0145962,0.0168019,0.0190248,117.0202704,221.1398717,-803.4381572,-293.2398599,-2643.887734,1040.515994,0.5318273,1,1,0
41,2026-04-04T17:11:46.669,-99.49370965,2463.214782,-536.5813839,-94.94906753,2402.027754,-529.0886651,-83.81123669,2342.728556,-523.516923,-85.77002949,2280.309666,-520.8830873,-75.99775035,2222.198803,-520.3820769,-76.32788636,2161.910789,-522.3926262,0.0142613,0.0158683,0.0174389,0.0136219,0.0133773,117.6900613,-17.59339289,-860.7754468,187.1061215,-2110.455969,-1568.270077,0.7812749,1,1,0
42,2026-04-04T17:12:01.036,-346.0874678,2525.331716,-594.8244934,-343.0447312,2462.2701,-590.6075658,-348.653596,2399.576682,-589.3794562,-349.283251,2337.377223,-590.4879878,-338.1202787,2277.92115,-592.9839285,-343.2603709,2217.326959,-599.3397887,0.016437,0.0170237,0.0161561,0.0154632,0.0158439,-315.1851299,49.85314057,-969.1235316,36.91687998,-2181.57076,-1906.598895,0.7559073,1,1,0
43,2026-04-04T17:12:36.486,-96.68563641,2557.364594,-925.6383194,-52.80529199,2489.185094,-950.3761715,-47.33550222,2414.170801,-987.5189027,-35.32229114,2340.076013,-1025.101441,-30.5699546,2266.015354,-1067.047968,-16.38467896,2195.170833,-1108.26925,0.014849,0.0166316,0.0154768,0.0137255,0.0128425,224.7439989,26.21936965,-916.4143478,232.9166317,-2047.091121,-715.4544208,0.7897317,1,1,1
44,2026-04-04T17:12:42.892,105.5831638,2518.014377,-832.8790731,88.59485641,2444.859199,-886.6029219,75.16577884,2371.337874,-942.3727933,65.66277991,2301.126746,-995.5261073,59.88296248,2231.493434,-1049.958358,43.82767412,2160.272314,-1108.285575,0.0139082,0.0161126,0.0145235,0.0143654,0.0142773,-267.1853053,184.0849804,-802.7215749,-277.0043921,-1743.182663,1099.859268,0.8141954,1,1,1
45,2026-04-04T17:12:48.614,196.6423684,2528.152424,-848.7606371,203.4326097,2469.872601,-894.5228719,188.3204859,2404.208657,-951.1916719,170.1991148,2339.367305,-1008.844836,159.7975929,2275.493651,-1064.201851,139.1643357,2214.503763,-1103.809602,0.0143831,0.0130315,0.0140991,0.0164866,0.0158179,-494.3133194,33.07433114,-801.8739556,-428.2848693,-1452.192924,-1264.918233,1.0881313,1,1,1
46,2026-04-04T17:12:56.601,375.7535552,2520.642305,-895.1276265,404.0011382,2461.071868,-933.3461195,398.9504124,2392.738654,-989.5060235,396.8815333,2326.314442,-1044.892986,395.6004562,2259.847338,-1103.066937,395.9972344,2213.479805,-1059.851833,0.016043,0.0137197,0.0125067,0.0140127,0.0201643,228.8689153,-40.34600405,-882.072091,-116.5902775,-1569.352783,-1528.042445,1.0467567,1,1,1
47,2026-04-04T17:13:02.361,22.71544738,2486.143101,-835.0388264,28.31368325,2416.757815,-882.575853,18.78795839,2345.492127,-933.7011818,23.12174732,2277.048031,-982.2953125,21.37701534,2208.605332,-1034.657193,21.17769347,2142.125127,-1087.449609,0.0157795,0.0141827,0.0131212,0.0160127,0.0137959,-19.48139616,-122.2149125,-803.0379605,-25.35516631,-1618.833768,-935.0932581,1.013372,1,1,1
48,2026-04-04T17:13:14.523,-424.1393093,2516.790011,-943.3093084,-400.9607973,2449.528687,-994.2405298,-396.4510384,2381.7318,-1050.336175,-401.525822,2314.293891,-1111.761929,-383.153224,2263.522838,-1083.406277,-367.9943788,2216.780083,-1033.564046,0.0142485,0.0170286,0.0151811,0.0175253,0.0174013,-22.99791169,-49.60148603,-819.6159874,255.2036508,-1690.216481,-1000.517957,0.9690634,1,1,1
49,2026-04-04T17:13:20.812,23.83031999,2477.509374,-403.9510098,18.61000375,2407.680962,-435.2913926,28.35762356,2342.029396,-467.8203538,40.48106018,2276.641032,-501.1181189,42.42202733,2211.650826,-539.4370949,56.46560281,2148.969028,-576.6894714,0.0166344,0.0161409,0.016713,0.0169961,0.0156766,322.6904606,16.17888131,-867.0411332,288.1585888,-2274.601309,-2219.808119,0.7259337,1,1,0
50,2026-04-04T17:13:45.816,-382.6067089,2384.745843,-439.7086493,-381.8908469,2317.736976,-467.8332886,-378.4933745,2250.821036,-496.2026507,-359.0898052,2188.020521,-529.8128743,-365.6204171,2121.938652,-562.4987,-365.0056857,2055.597472,-599.8613504,0.0170698,0.0173351,0.0147055,0.0159138,0.0156405,-204.1344671,-24.64494718,-899.3107754,166.0574501,-2282.404874,-2161.987779,0.7119447,1,1,0
