sample_id,captured_at,point_index,t_abs,dt_from_prev_s,t_from_first_accepted_s,t_from_p6_s,x,y,z,in_workspace,dist_to_workspace_center_mm,is_first6,is_after_p6,is_selected_hit
236,2026-04-05T00:53:14.895,30,195221.2280045,0.014235600014217198,0.46300390001852065,0.38785709999501705,-44.35591117062131,231.73173071994847,-805.5079547491109,1.0,254.1570154332452,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,31,195221.2437038,0.015699299983680248,0.4787032000022009,0.4035563999786973,-48.56461433711229,181.2854948499189,-803.0754624016902,1.0,211.22811933390545,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,32,195221.2583752,0.014671400014776736,0.49337460001697764,0.41822779999347404,-33.40357728614299,144.6292651730771,-799.5339815635409,0.0,179.23962781843338,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,33,195221.2737701,0.015394899994134903,0.5087695000111125,0.43362269998760894,-37.62635384143459,95.28601845427261,-801.9003943074733,1.0,141.84040486863407,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,34,195221.2902466,0.016476499993586913,0.5252460000046995,0.45009919998119585,-59.5038291599908,32.7560465922395,-810.6092287331257,1.0,112.26920441840214,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,35,195221.304413,0.014166400011163205,0.5394124000158627,0.46426559999235906,-51.741080214733756,-6.907150200857814,-815.1817173575778,1.0,99.59412219651593,0.0,1.0,1.0
236,2026-04-05T00:53:14.895,36,195221.3185355,0.014122499997029081,0.5535349000128917,0.47838809998938814,-50.86051150404228,-50.68759486643853,-823.5069946896168,1.0,104.91522179937158,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,37,195221.3327671,0.014231599983759224,0.567766499996651,0.49261969997314736,-31.89018004581021,-81.06146061966456,-830.7312997284196,1.0,111.29284262009693,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,38,195221.348541,0.015773900027852505,0.5835404000245035,0.5083936000009999,-47.804739603904636,-134.83478260795027,-847.8522345525272,1.0,152.2665464594734,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,39,195221.3643589,0.015817899984540418,0.5993583000090439,0.5242114999855403,-58.93837582493052,-184.7003461151362,-865.9970462446989,1.0,196.835339469357,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,40,195221.3807041,0.016345200012438,0.6157035000214819,0.5405566999979783,-45.155611337340815,-219.89214135693942,-880.2945062445862,1.0,225.34393612860734,0.0,1.0,0.0
